trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
58,False,"{'a': 0.05, 'e': 0.9596616526574011}",25,0,-56.424645500373124,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
59,False,"{'a': 0.05, 'e': 0.9582438755126972}",35,9,-87.61440966674199,"{0: 15, 1: 3, 2: 7, 3: 1, 4: 0}",1
60,False,"{'a': 0.05, 'e': 0.9568021423210139}",20,0,-85.80739161763017,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
61,False,"{'a': 0.05, 'e': 0.955336489125606}",25,0,-164.24112837355088,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
62,False,"{'a': 0.05, 'e': 0.953846952567727}",25,0,-103.24581216144398,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
63,False,"{'a': 0.05, 'e': 0.9523335698857134}",20,0,-155.75845842966774,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
64,False,"{'a': 0.05, 'e': 0.9507963789140532}",20,0,-153.47092199120627,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
65,False,"{'a': 0.05, 'e': 0.9492354180824408}",20,0,-48.97001146729154,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
66,False,"{'a': 0.05, 'e': 0.9476507264148157}",20,0,-62.24735311802874,"{0: 15, 1: 0, 2: 2, 3: 3, 4: 0}",0
67,False,"{'a': 0.05, 'e': 0.9460423435283869}",20,0,-101.98602313470589,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
68,False,"{'a': 0.05, 'e': 0.944410309632643}",20,0,-114.52377376047865,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
69,False,"{'a': 0.05, 'e': 0.9427546655283462}",20,0,-149.3367183333613,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
70,False,"{'a': 0.05, 'e': 0.941075452606513}",20,0,-93.09300011209261,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
71,False,"{'a': 0.05, 'e': 0.9393727128473789}",25,0,-119.59797622398523,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
72,False,"{'a': 0.05, 'e': 0.9376464888193493}",20,0,-105.86855787549842,"{0: 8, 1: 3, 2: 8, 3: 1, 4: 0}",0
73,False,"{'a': 0.05, 'e': 0.9358968236779348}",20,0,-64.75329852566006,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
74,False,"{'a': 0.05, 'e': 0.9341237611646731}",30,0,-242.5097640963272,"{0: 16, 1: 4, 2: 4, 3: 2, 4: 4}",0
75,False,"{'a': 0.05, 'e': 0.9323273456060344}",20,0,-31.329542358147304,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
76,False,"{'a': 0.05, 'e': 0.9305076219123143}",25,0,-156.85567846307669,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
77,False,"{'a': 0.05, 'e': 0.9286646355765102}",20,0,-61.81644930394616,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
78,False,"{'a': 0.05, 'e': 0.9267984326731847}",30,0,-88.58126658545213,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
79,False,"{'a': 0.05, 'e': 0.9249090598573131}",25,5,-90.27811300136953,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",1
80,False,"{'a': 0.05, 'e': 0.9229965643631173}",20,0,-22.441567217599832,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
81,False,"{'a': 0.05, 'e': 0.9210609940028851}",25,0,-209.7384213180485,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 4}",0
82,False,"{'a': 0.05, 'e': 0.9191023971657747}",30,0,-228.75526609230556,"{0: 17, 1: 2, 2: 6, 3: 1, 4: 4}",0
83,False,"{'a': 0.05, 'e': 0.917120822816605}",30,0,-161.63107290905563,"{0: 20, 1: 0, 2: 5, 3: 3, 4: 2}",0
84,False,"{'a': 0.05, 'e': 0.9151163204946318}",25,0,-36.83591426679624,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
85,False,"{'a': 0.05, 'e': 0.9130889403123083}",25,13,-32.241192355363985,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
86,False,"{'a': 0.05, 'e': 0.9110387329540337}",20,0,-111.09245303871941,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
87,False,"{'a': 0.05, 'e': 0.9089657496748851}",25,0,-119.08901185644748,"{0: 12, 1: 2, 2: 10, 3: 1, 4: 0}",0
88,False,"{'a': 0.05, 'e': 0.9068700422993365}",25,8,-104.08557053618179,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 2}",1
89,False,"{'a': 0.05, 'e': 0.9047516632199634}",20,0,-20.312827260737272,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
90,False,"{'a': 0.05, 'e': 0.9026106653961321}",25,0,-162.77591057393147,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
91,False,"{'a': 0.05, 'e': 0.9004471023526769}",25,0,-151.55770017480677,"{0: 11, 1: 3, 2: 9, 3: 1, 4: 1}",0
92,False,"{'a': 0.05, 'e': 0.8982610281785611}",20,1,-68.8471912616309,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 0}",1
93,False,"{'a': 0.05, 'e': 0.8960524975255252}",20,0,-233.83594758002798,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 5}",0
94,False,"{'a': 0.05, 'e': 0.8938215656067205}",25,2,-162.68187650448203,"{0: 14, 1: 0, 2: 4, 3: 3, 4: 2}",1
95,False,"{'a': 0.05, 'e': 0.8915682881953289}",30,12,-52.24816453748402,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 0}",1
96,False,"{'a': 0.05, 'e': 0.8892927216231682}",20,0,-102.88263279574348,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
97,False,"{'a': 0.05, 'e': 0.8869949227792842}",25,0,-148.2263387092023,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
98,False,"{'a': 0.05, 'e': 0.8846749491085283}",20,0,-80.74378050762067,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
99,False,"{'a': 0.05, 'e': 0.8823328586101215}",30,9,-125.47903625736889,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 2}",1
100,False,"{'a': 0.05, 'e': 0.8799687098362042}",20,0,-61.148754496576466,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
101,False,"{'a': 0.05, 'e': 0.8775825618903728}",20,0,-85.62464995528957,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
102,False,"{'a': 0.05, 'e': 0.8751744744262013}",35,0,-95.364112728045,"{0: 21, 1: 4, 2: 10, 3: 0, 4: 0}",0
103,False,"{'a': 0.05, 'e': 0.8727445076457512}",25,0,-142.03669439445363,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
104,False,"{'a': 0.05, 'e': 0.8702927222980654}",30,0,-96.87441142019837,"{0: 19, 1: 4, 2: 4, 3: 3, 4: 0}",0
105,False,"{'a': 0.05, 'e': 0.8678191796776499}",30,0,-95.61618727975319,"{0: 21, 1: 3, 2: 3, 3: 2, 4: 1}",0
106,False,"{'a': 0.05, 'e': 0.8653239416229412}",25,0,-44.13610063787623,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
107,False,"{'a': 0.05, 'e': 0.8628070705147609}",20,9,-33.29838952689936,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
108,False,"{'a': 0.05, 'e': 0.8602686292747557}",20,0,-45.098807030201996,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
109,False,"{'a': 0.05, 'e': 0.8577086813638242}",25,16,2.3021384243428473,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.05, 'e': 0.8551272907805307}",25,0,-72.02955906844203,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
111,False,"{'a': 0.05, 'e': 0.8525245220595057}",20,0,-85.35503886753176,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
112,False,"{'a': 0.05, 'e': 0.8499004402698315}",20,0,-110.1571656462427,"{0: 12, 1: 3, 2: 1, 3: 3, 4: 1}",0
113,False,"{'a': 0.05, 'e': 0.8472551110134161}",30,0,-103.30321547952022,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
114,False,"{'a': 0.05, 'e': 0.8445886004233532}",20,4,1.8985295163486602,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
115,False,"{'a': 0.05, 'e': 0.8419009751622687}",35,0,-163.64688838520632,"{0: 25, 1: 1, 2: 5, 3: 1, 4: 3}",0
116,False,"{'a': 0.05, 'e': 0.8391923024206541}",20,0,-95.02381512787629,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
117,False,"{'a': 0.05, 'e': 0.8364626499151869}",20,0,-57.4872256912869,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
118,False,"{'a': 0.05, 'e': 0.8337120858870375}",30,0,-32.512133988730035,"{0: 24, 1: 1, 2: 4, 3: 1, 4: 0}",0
119,False,"{'a': 0.05, 'e': 0.8309406791001634}",20,0,-94.57175726946328,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
120,False,"{'a': 0.05, 'e': 0.82814849883959}",20,0,-115.10183625275045,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
121,False,"{'a': 0.05, 'e': 0.8253356149096782}",20,0,16.24592694334462,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
122,False,"{'a': 0.05, 'e': 0.8225020976323799}",30,0,-69.41600798962251,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
123,False,"{'a': 0.05, 'e': 0.8196480178454795}",20,0,-17.890367954644454,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
124,False,"{'a': 0.05, 'e': 0.8167734469008228}",25,0,-118.77409486036603,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
125,False,"{'a': 0.05, 'e': 0.8138784566625339}",20,0,-142.66852746409904,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
126,False,"{'a': 0.05, 'e': 0.8109631195052179}",30,0,-40.45094661886215,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
127,False,"{'a': 0.05, 'e': 0.8080275083121518}",35,9,-94.65279901953637,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 1}",1
128,False,"{'a': 0.05, 'e': 0.8050716964734627}",20,0,-54.00769002914328,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
129,False,"{'a': 0.05, 'e': 0.8020957578842925}",20,0,-104.98900880697876,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
130,False,"{'a': 0.05, 'e': 0.7990997669429512}",20,0,-35.67253670138011,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
131,False,"{'a': 0.05, 'e': 0.7960837985490559}",25,0,-116.66662612509327,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
132,False,"{'a': 0.05, 'e': 0.7930479281016594}",25,0,-100.59970682102946,"{0: 14, 1: 1, 2: 9, 3: 1, 4: 0}",0
133,False,"{'a': 0.05, 'e': 0.789992231497365}",25,0,-16.809737130656007,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
134,False,"{'a': 0.05, 'e': 0.7869167851284287}",25,0,-44.95946366444365,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
135,False,"{'a': 0.05, 'e': 0.7838216658808492}",25,10,-89.82456099437451,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 2}",1
136,False,"{'a': 0.05, 'e': 0.7807069511324468}",20,2,-114.96024982691675,"{0: 11, 1: 3, 2: 1, 3: 1, 4: 2}",1
137,False,"{'a': 0.05, 'e': 0.7775727187509278}",25,0,-109.28231644701181,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
138,False,"{'a': 0.05, 'e': 0.7744190470919388}",25,0,-59.83852623181399,"{0: 19, 1: 0, 2: 3, 3: 3, 4: 0}",0
139,False,"{'a': 0.05, 'e': 0.7712460149971065}",20,0,-28.19750640562066,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
140,False,"{'a': 0.05, 'e': 0.7680537017920686}",20,0,-45.128582298020305,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
141,False,"{'a': 0.05, 'e': 0.7648421872844884}",20,4,-35.10713533776105,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 0}",1
142,False,"{'a': 0.05, 'e': 0.7616115517620616}",25,19,10.977203228496128,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.05, 'e': 0.7583618759905081}",30,0,-201.0189932898631,"{0: 18, 1: 2, 2: 4, 3: 3, 4: 3}",0
144,False,"{'a': 0.05, 'e': 0.7550932412115527}",20,3,-36.99926635714088,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 0}",1
145,False,"{'a': 0.05, 'e': 0.7518057291408949}",20,0,-70.12979510797939,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
146,False,"{'a': 0.05, 'e': 0.748499421966165}",25,15,-38.08822074857652,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
147,False,"{'a': 0.05, 'e': 0.7451744023448703}",25,0,-63.574606072102206,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
148,False,"{'a': 0.05, 'e': 0.7418307534023281}",20,12,-7.577850723824514,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
149,False,"{'a': 0.05, 'e': 0.7384685587295878}",20,0,-61.39242800824847,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
150,False,"{'a': 0.05, 'e': 0.7350879023813413}",30,0,-65.09294965628288,"{0: 22, 1: 0, 2: 7, 3: 1, 4: 0}",0
151,False,"{'a': 0.05, 'e': 0.7316888688738209}",20,7,-18.332650258061317,"{0: 8, 1: 4, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.05, 'e': 0.7282715431826874}",20,0,-144.67480738588455,"{0: 14, 1: 1, 2: 0, 3: 2, 4: 3}",0
153,False,"{'a': 0.05, 'e': 0.7248360107409051}",20,0,-92.11693028945591,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
154,False,"{'a': 0.05, 'e': 0.7213823574366061}",20,5,-18.213877324748577,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
155,False,"{'a': 0.05, 'e': 0.7179106696109434}",20,15,-12.44001974369588,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
156,False,"{'a': 0.05, 'e': 0.7144210340559314}",25,0,-120.48182874663827,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
157,False,"{'a': 0.05, 'e': 0.7109135380122773}",25,0,-83.53362756024465,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",1
158,False,"{'a': 0.05, 'e': 0.7073882691671997}",20,0,-115.38890690872847,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
